#{"t_start": 1759307281.4268382, "env_id": "None"}
r,l,t,jain,cell_tput_Mb,wasted_prbs
15.317014,2000,214.575834,0.9766569089681238,0.129416,0
-21.240528,2000,217.599648,0.8706640253786215,0.16468,0
14.301698,2000,220.795184,0.9416947861772731,0.13672,0
13.337914,2000,224.113972,0.9782677156938118,0.085368,0
13.369778,2000,227.639646,0.9046445747290625,0.125712,0
12.438625,2000,230.663377,0.8976991680183403,0.095,10
15.633398,2000,233.589737,0.8937423135201048,0.0988,0
12.290252,2000,237.113099,0.8608244685339961,0.096968,0
15.437415,2000,240.556969,0.9907296654092832,0.122848,0
14.661177,2000,243.569373,0.7655464605521658,0.089592,0
-0.119373,2000,246.500813,0.6783254715543511,0.118432,0
14.076775,2000,250.200191,0.9769738273792371,0.093888,66
3.413923,2000,253.477535,0.7864047376036971,0.128424,0
12.904128,2000,256.615552,0.9334120906055616,0.086392,113
8.072185,2000,259.679253,0.9633174758083488,0.093696,12
-4.057758,2000,263.479233,0.8383672328697365,0.14728,0
0.527244,2000,266.478295,0.8264198517205084,0.099336,44
9.71663,2000,269.400914,0.8574173516945601,0.12416,34
-10.718811,2000,272.333021,0.859314144902568,0.0576,52
14.434312,2000,276.126583,0.9667226975481544,0.066048,171
12.977152,2000,279.279788,0.8624761252186864,0.13872,20
14.622697,2000,281.828061,0.9603208242276904,0.07192,100
12.868192,2000,284.878333,0.8385209857479007,0.141656,3
10.516247,2000,288.895303,0.8991606472640011,0.09816,0
13.110673,2000,292.005008,0.7349999262271434,0.144432,0
13.352901,2000,295.103886,0.9808485252284709,0.120248,33
14.577472,2000,298.125089,0.9408037382519263,0.107392,0
12.852156,2000,302.195612,0.8601287011029491,0.113168,0
12.325826,2000,305.266578,0.9141555261726358,0.118336,0
14.378216,2000,308.22864,0.8593088594748884,0.134824,39
13.807812,2000,311.391275,0.8717427288940546,0.121936,6
11.197053,2000,315.117849,0.8295314798842621,0.147728,70
12.608901,2000,318.131572,0.814168535996705,0.09028,0
3.019907,2000,321.100432,0.8579033159435637,0.123848,44
15.298631,2000,324.290557,0.9022866687956606,0.1262,0
-4.411915,2000,328.083366,0.7935717699364285,0.107672,53
-23.786726,2000,331.186816,0.9440701829704994,0.064744,117
11.639542,2000,334.141698,0.9235860993910143,0.084688,58
9.345936,2000,337.587958,0.9022415473679153,0.082752,144
14.588259,2000,341.049469,0.8315215156722192,0.127048,11
14.826982,2000,344.080971,0.9401410318237914,0.151016,54
13.184699,2000,347.081246,0.8783489588015608,0.167736,86
12.544798,2000,350.754623,0.9199228234540844,0.065888,0
15.242256,2000,354.132519,0.9971644756049052,0.210304,0
13.976996,2000,357.122912,0.8546413595276728,0.14288,66
14.881651,2000,360.075627,0.9536627627538858,0.140864,0
12.542738,2000,363.869369,0.9351936709687814,0.106392,28
4.931767,2000,366.981971,0.8343124057045844,0.155152,0
2.64361,2000,370.003003,0.9611717422438889,0.03056,113
13.412593,2000,372.946798,0.8272897298543624,0.106816,32
12.676362,2000,376.831882,0.8856497953784063,0.084384,0
13.061383,2000,379.878836,0.8921352611105173,0.112896,0
9.418347,2000,382.827489,0.9371384505478734,0.0676,65
13.670259,2000,385.805995,0.9140839351741507,0.0732,0
10.408574,2000,389.683881,0.9455032001875259,0.15656,45
13.004266,2000,392.710803,0.936900151239819,0.098944,0
12.741949,2000,395.600962,0.8317203721205229,0.075992,0
